"subID","keyboard_condition","trial_type","trial_number","correct_num","response_num","response_rt","correct_space","response_space","probe_space","correct_width","response_width","probe_width","adjustment_duration","stim_length","exp_version","number_deviation","width_deviation","spacing_deviation","response_stim_length","compression_rate","actual_pooled_width","response_pooled_width","pooled_width_deviation","actual_width_density","response_width_density","width_density_deviation"
"1","left_right_width","match",25,5,4,0.970006000017747,0.675,0.7,0.5,0.4,0.4,0.4,1.87345189996995,3.1,"Exp1A",-1,0,0.0249999999999999,2.5,0.806451612903226,2,1.6,-0.4,0.645161290322581,0.64,-0.0051612903225805
"1","left_right_width","initial",26,3,2,0.669487399980426,0.5,0.5,1.6,0.1,0.0500000000000001,0.45,6.41799629991874,1.1,"Exp1A",-1,-0.0499999999999999,0,0.55,0.5,0.3,0.1,-0.2,0.272727272727273,0.181818181818182,-0.0909090909090907
"1","left_right_width","match",27,5,4,0.727418900001794,0.675,0.7,0.9,0.25,0.25,0.4,2.48866609996185,2.95,"Exp1A",-1,5.55111512312578e-17,0.0249999999999999,2.35,0.796610169491525,1.25,1,-0.25,0.423728813559322,0.425531914893617,0.00180310133429518
"1","left_right_width","initial",28,3,2,0.76027309987694,0.9,1.6,1.6,0.25,0.2,0.45,5.0315243001096,2.05,"Exp1A",-1,-0.0499999999999999,0.7,1.8,0.878048780487805,0.75,0.4,-0.35,0.365853658536585,0.222222222222222,-0.143631436314363
"1","left_right_width","match",29,4,3,1.00018989993259,0.333333333333333,0.4,0.7,0.1,0.1,0.3,3.29469330003485,1.1,"Exp1A",-1,1.38777878078145e-17,0.0666666666666667,0.9,0.818181818181818,0.4,0.3,-0.1,0.363636363636364,0.333333333333333,-0.0303030303030303
"1","left_right_width","initial",30,5,4,0.727967099985108,0.9,1,0.7,0.4,0.45,0.15,3.38431639992632,4,"Exp1A",-1,0.0499999999999999,0.1,3.45,0.8625,2,1.8,-0.2,0.5,0.521739130434782,0.0217391304347825
"1","left_right_width","initial",31,4,3,0.955396400066093,0.7,0.95,0.9,0.4,0.4,0.25,3.63427179981954,2.5,"Exp1A",-1,-5.55111512312578e-17,0.25,2.3,0.92,1.6,1.2,-0.4,0.64,0.521739130434783,-0.118260869565217
"1","left_right_width","initial",32,3,2,1.30709499982186,0.9,1.3,1.6,0.1,0.15,0.35,2.90126299997792,1.9,"Exp1A",-1,0.05,0.4,1.45,0.763157894736842,0.3,0.3,0,0.157894736842105,0.206896551724138,0.0490018148820326
"1","left_right_width","match",33,4,3,0.770770699949935,0.383333333333333,0.5,0.3,0.25,0.3,0.2,3.20146839995869,1.4,"Exp1A",-1,0.05,0.116666666666667,1.3,0.928571428571429,1,0.9,-0.1,0.714285714285714,0.692307692307692,-0.0219780219780221
"1","left_right_width","match",34,4,3,1.26350670005195,0.6,0.7,0.6,0.4,0.4,0.35,1.99645750015043,2.2,"Exp1A",-1,-5.55111512312578e-17,0.0999999999999999,1.8,0.818181818181818,1.6,1.2,-0.4,0.727272727272727,0.666666666666667,-0.0606060606060606
"1","left_right_width","initial",35,5,4,1.07077479991131,0.5,0.5,0.7,0.4,0.35,0.15,9.79393509984948,2.4,"Exp1A",-1,-0.05,0,1.85,0.770833333333333,2,1.4,-0.6,0.833333333333333,0.756756756756757,-0.0765765765765767
"1","left_right_width","initial",36,4,3,0.939079000148922,0.7,0.75,0.7,0.1,0.1,0.25,3.55482920003124,2.2,"Exp1A",-1,1.38777878078145e-17,0.05,1.6,0.727272727272727,0.4,0.3,-0.1,0.181818181818182,0.1875,0.00568181818181818
"1","left_right_width","initial",37,4,3,0.638713999884203,0.5,0.7,0.7,0.4,0.4,0.25,5.22061840002425,1.9,"Exp1A",-1,-5.55111512312578e-17,0.2,1.8,0.947368421052632,1.6,1.2,-0.4,0.842105263157895,0.666666666666667,-0.175438596491228
"1","left_right_width","match",38,5,4,1.13032569992356,0.525,0.4,0.3,0.1,0.1,0.3,4.10715099982917,2.2,"Exp1A",-1,1.38777878078145e-17,-0.125,1.3,0.590909090909091,0.5,0.4,-0.0999999999999999,0.227272727272727,0.307692307692308,0.0804195804195804
"1","left_right_width","initial",39,4,4,0.831938600167632,0.7,0.6,0.5,0.25,0.2,0.3,2.36690470017493,2.35,"Exp1A",0,-0.05,-0.1,2,0.851063829787234,1,0.8,-0.2,0.425531914893617,0.4,-0.025531914893617
"1","left_right_width","initial",40,3,2,0.917987399967387,0.5,0.5,1.6,0.25,0.25,0.15,4.81518150004558,1.25,"Exp1A",-1,0,0,0.75,0.6,0.75,0.5,-0.25,0.6,0.666666666666667,0.0666666666666667
"1","left_right_width","match",41,5,4,1.24063990009017,0.375,0.5,0.9,0.25,0.2,0.35,6.40514899999835,1.75,"Exp1A",-1,-0.05,0.125,1.7,0.971428571428571,1.25,0.8,-0.45,0.714285714285714,0.470588235294118,-0.243697478991597
"1","left_right_width","match",42,4,4,1.1262085000053,0.466666666666667,0.4,0.7,0.1,0.1,0.1,1.91165269981138,1.5,"Exp1A",0,0,-0.0666666666666667,1.3,0.866666666666667,0.4,0.4,0,0.266666666666667,0.307692307692308,0.041025641025641
"1","left_right_width","initial",43,3,2,0.785891099832952,0.7,0.8,1.6,0.1,0.1,0.4,3.95343339978717,1.5,"Exp1A",-1,6.93889390390723e-17,0.1,0.9,0.6,0.3,0.2,-0.0999999999999999,0.2,0.222222222222222,0.0222222222222223
"1","left_right_width","initial",44,3,2,0.889532099943608,0.9,1.4,1.6,0.4,0.8,0.1,5.53567179990932,2.2,"Exp1A",-1,0.4,0.5,2.2,1,1.2,1.6,0.4,0.545454545454546,0.727272727272727,0.181818181818182
"1","left_right_width","initial",45,4,3,0.957848600111902,0.5,0.6,0.6,0.1,0.05,0.3,3.95780980004929,1.6,"Exp1A",-1,-0.05,0.1,1.25,0.78125,0.4,0.15,-0.25,0.25,0.12,-0.13
"1","left_right_width","initial",46,5,4,1.07294209999964,0.9,0.8,0.6,0.25,0.1,0.4,4.24417389999144,3.85,"Exp1A",-1,-0.15,-0.1,2.5,0.649350649350649,1.25,0.4,-0.85,0.324675324675325,0.16,-0.164675324675325
"1","left_right_width","match",47,4,3,0.849978799931705,0.466666666666667,0.55,0.9,0.4,0.45,0.25,5.13447689986788,1.8,"Exp1A",-1,0.0499999999999999,0.0833333333333334,1.55,0.861111111111111,1.6,1.35,-0.25,0.888888888888889,0.870967741935484,-0.0179211469534052
"1","left_right_width","match",48,5,4,1.06677629984915,0.525,0.6,1.1,0.4,0.45,0.25,12.0775383000728,2.5,"Exp1A",-1,0.0499999999999999,0.075,2.25,0.9,2,1.8,-0.2,0.8,0.8,-1.11022302462516e-16
"1","left_right_width","initial",50,5,4,0.723445200128481,0.7,0.7,0.5,0.1,0.1,0.1,1.45984999998473,2.9,"Exp1A",-1,0,0,2.2,0.758620689655172,0.5,0.4,-0.1,0.172413793103448,0.181818181818182,0.00940438871473356
