"participant","stim_length","amount","center_to_center","w","trial_type","loop.thisN","response","key_resp.rt","starting_width_deg","starting_space_deg","response_width_degree","response_spacing_degree","next_5.rt","resp_group"
1,2.95,5,0.675,0.25,"match",30,4,14.527798499912,0.2,1.2,0.2,1.1,0.89018899993971,"left_right_width"
1,2.8,5,0.675,0.1,"match",31,4,0.696195799857378,0.35,0.6,0.05,0.6,3.5004511999432,"left_right_width"
1,1.1,4,0.333333333333333,0.1,"match",32,3,1.26597620011307,0.1,0.4,0.1,0.4,0.656018600100651,"left_right_width"
1,1.8,3,0.7,0.4,"initial",33,2,1.03677319991402,0.2,1.6,0.5,1,4.49914839980192,"left_right_width"
1,3.2,3,1.475,0.25,"match",34,3,1.12487429985777,0.35,0.9,0.2,1.05,2.42351499991491,"left_right_width"
1,2.5,4,0.7,0.4,"initial",35,3,0.808018099982291,0.3,1.2,0.45,1.2,3.11098150000907,"left_right_width"
1,3.7,5,0.9,0.1,"initial",36,4,0.794850299833342,0.25,0.3,0.1,0.8,2.61798200011253,"left_right_width"
1,2.25,5,0.5,0.25,"initial",37,4,6.04999840003438,0.15,0.8,0.15,0.8,1.08683349983767,"left_right_width"
1,1.5,4,0.466666666666667,0.1,"match",38,4,1.51499049994163,0.2,0.3,0.1,0.4,2.23781260009855,"left_right_width"
1,2.9,3,1.4,0.1,"match",39,2,1.19075169996358,0.4,1.6,0.1,1.6,2.08334750006907,"left_right_width"
1,2.4,3,1,0.4,"match",40,2,0.697480999864638,0.3,1.6,0.45,1.6,1.62822529999539,"left_right_width"
1,2.35,5,0.525,0.25,"match",41,4,0.892371700145304,0.1,1,0.25,0.7,2.48731540003791,"left_right_width"
1,1.9,4,0.6,0.1,"match",42,3,0.87072390015237,0.45,0.5,0.1,0.75,5.41055110003799,"left_right_width"
1,2.2,4,0.7,0.1,"initial",43,4,1.84272640012205,0.45,0.6,0.15,0.8,6.27777760010213,"left_right_width"
1,1.8,4,0.466666666666667,0.4,"match",44,4,1.7092633000575,0.1,1.3,0.3,0.4,5.9570983001031,"left_right_width"
1,2.2,5,0.525,0.1,"match",45,4,0.815945700043812,0.15,0.4,0.15,0.4,0.799324500141665,"left_right_width"
1,1.6,5,0.375,0.1,"match",46,4,0.699263399932534,0.2,0.5,0.15,0.5,2.79949999996461,"left_right_width"
1,1.75,4,0.5,0.25,"initial",47,3,1.35134130017832,0.2,0.5,0.2,0.5,0.925980199826881,"left_right_width"
1,2.9,5,0.7,0.1,"initial",48,4,0.786243200069293,0.1,0.6,0.1,0.8,2.77009040000848,"left_right_width"
1,1.25,3,0.5,0.25,"initial",49,2,1.04556780005805,0.45,1.6,0.25,0.6,7.00216709985398,"left_right_width"
1,1.6,4,0.5,0.1,"initial",50,3,1.41963590006344,0.35,0.4,0.1,0.5,2.40258260001428,"left_right_width"
1,4,5,0.9,0.4,"initial",51,4,0.922500399872661,0.2,1,0.35,1,1.74656559992582,"left_right_width"
1,1.4,4,0.383333333333333,0.25,"match",52,3,0.790870700031519,0.35,0.5,0.35,0.5,0.599169799825177,"left_right_width"
1,3.7,3,1.8,0.1,"match",53,2,1.47289309999906,0.1,1.6,0.1,1.6,0.611511500086635,"left_right_width"
1,1.6,5,0.375,0.1,"match",0,4,0.915512999985367,0.3,1.2,0.1,0.5,3.93123580003157,"left_right_width"
1,2.5,5,0.525,0.4,"match",1,4,0.861424100119621,0.4,0.5,0.4,0.5,0.538838699925691,"left_right_width"
1,1.5,4,0.466666666666667,0.1,"match",2,3,0.877561500063166,0.2,0.4,0.2,0.4,1.19379710010253,"left_right_width"
1,1.65,4,0.466666666666667,0.25,"match",3,3,1.07208170020021,0.3,0.8,0.2,0.5,2.72540870006196,"left_right_width"
1,2.8,5,0.675,0.1,"match",4,4,0.845633700024337,0.35,0.7,0.15,0.7,4.16987080010585,"left_right_width"
1,2.5,4,0.7,0.4,"initial",5,3,0.859077099943534,0.15,0.6,0.35,0.65,2.88802780001424,"left_right_width"
1,2.2,4,0.6,0.4,"match",6,3,1.17889990005642,0.25,0.8,0.4,0.7,7.77007809979841,"left_right_width"
1,1.9,5,0.4125,0.25,"match",7,4,0.774925600038841,0.4,0.6,0.3,0.5,3.42862750007771,"left_right_width"
1,2.25,3,1,0.25,"match",8,3,0.901846599997953,0.4,0.8,0.2,0.85,2.14302760013379,"left_right_width"
1,1.5,3,0.7,0.1,"initial",9,2,1.49562530010007,0.3,1.6,0.15,1.3,4.82623849995434,"left_right_width"
1,1.65,3,0.7,0.25,"initial",10,3,0.834439200116321,0.3,1.1,0.3,1,1.51772339991294,"left_right_width"
1,3.2,3,1.475,0.25,"match",11,2,0.69125029980205,0.4,1.6,0.25,2,2.10104510001838,"left_right_width"
1,2.9,5,0.7,0.1,"initial",12,4,1.01201910013333,0.3,0.4,0.15,0.8,2.9540277000051,"left_right_width"
1,3.85,5,0.9,0.25,"initial",13,5,0.992843499872833,0.3,1,0.3,1,0.997499299934134,"left_right_width"
1,4,3,1.8,0.4,"match",14,2,1.25495390011929,0.3,1.6,0.3,2.4,2.3551120001357,"left_right_width"
1,2.95,5,0.675,0.25,"match",15,5,2.18167500011623,0.25,1,0.25,1,2.8620289999526,"left_right_width"
1,1.1,3,0.5,0.1,"initial",16,2,0.743614599807188,0.35,1.6,0.25,0.8,3.04953729989938,"left_right_width"
1,3.05,5,0.7,0.25,"initial",17,4,0.903514500008896,0.15,0.7,0.3,0.7,1.47450969996862,"left_right_width"
1,4,5,0.9,0.4,"initial",18,4,0.797754700062796,0.4,0.6,0.3,0.9,2.12588110007346,"left_right_width"
1,3.1,5,0.675,0.4,"match",19,4,0.750123099889606,0.2,0.5,0.3,0.7,1.90194289991632,"left_right_width"
1,1.4,3,0.5,0.4,"initial",20,2,0.886374199995771,0.15,1.6,0.4,0.5,9.58596020005643,"left_right_width"
1,2.95,4,0.9,0.25,"initial",21,4,1.4448261000216,0.2,0.3,0.2,0.8,2.05805839993991,"left_right_width"
1,2.1,5,0.5,0.1,"initial",22,4,0.976398499915376,0.45,0.8,0.15,0.8,4.82451139995828,"left_right_width"
1,1.4,4,0.383333333333333,0.25,"match",23,3,2.25321710016578,0.45,1.3,0.35,0.65,4.04731120006181,"left_right_width"
1,1.1,4,0.333333333333333,0.1,"match",24,4,1.09496579994448,0.1,1.1,0.1,0.4,4.04156069993041,"left_right_width"
1,2.05,3,0.9,0.25,"initial",25,2,0.990603300044313,0.15,1.6,0.15,0.8,2.85483750002459,"left_right_width"
1,3.2,5,0.7,0.4,"initial",26,4,1.17900749994442,0.35,1,0.35,0.8,2.82748909993097,"left_right_width"
1,3.7,5,0.9,0.1,"initial",27,5,1.43591380002908,0.45,1.1,0.2,1.05,4.099638100015,"left_right_width"
1,2.4,3,1,0.4,"match",28,2,1.48601699993014,0.1,1.6,0.1,1.6,6.8332631001249,"left_right_width"
1,3.05,3,1.4,0.25,"match",29,2,1.88911109999754,0.35,1.6,0.35,2.3,2.02183849993162,"left_right_width"
1,2.1,3,1,0.1,"match",30,2,0.89626509998925,0.25,1.6,0.1,1.9,1.74080240004696,"left_right_width"
1,1.9,4,0.5,0.4,"initial",31,3,1.0900583001785,0.45,1.1,0.45,0.7,2.1024533000309,"left_right_width"
